Carbon precursors,Precursor family,sample_count
Ningdong coal powder,coal/pitch/tar/coke,22
Pitch,coal/pitch/tar/coke,16
Bitumen coke,coal/pitch/tar/coke,12
Starch potato,coal/pitch/tar/coke,8
Wasted coal liquefaction,coal/pitch/tar/coke,5
Tar,coal/pitch/tar/coke,2
Adaro,coal/pitch/tar/coke,1
Aduun chuluun,coal/pitch/tar/coke,1
Baganuur,coal/pitch/tar/coke,1
Loy Yang,coal/pitch/tar/coke,1
Mullier,coal/pitch/tar/coke,1
Peat,coal/pitch/tar/coke,1
Pendopo,coal/pitch/tar/coke,1
Shivee-ovoo,coal/pitch/tar/coke,1
Tugrug nuur,coal/pitch/tar/coke,1
Yallown,coal/pitch/tar/coke,1
Lignin,lignin/lignosulfonate,71
Kraft lignin,lignin/lignosulfonate,58
sodium lignosulfonate,lignin/lignosulfonate,22
Sodium lignosulfonate,lignin/lignosulfonate,18
Black liquor lignin,lignin/lignosulfonate,12
Alkali lignin,lignin/lignosulfonate,6
Macadamia nut shells,nut/shell/seed,156
Macadamia nutshells,nut/shell/seed,48
Walnut shells,nut/shell/seed,42
walnut shells,nut/shell/seed,34
almond skin,nut/shell/seed,30
Avocado seeds,nut/shell/seed,20
Rubber seed shell,nut/shell/seed,20
Peach Kernel,nut/shell/seed,16
Jujube seeds,nut/shell/seed,15
macadamia nuts,nut/shell/seed,12
Pine nut shells,nut/shell/seed,10
greasyback shrimp shell,nut/shell/seed,10
Peanut shells,nut/shell/seed,8
Brazil nut shells,nut/shell/seed,5
Pistachio shells,nut/shell/seed,5
Coconut shell,nut/shell/seed,4
Nut shell,nut/shell/seed,1
Rapeseed pollen,nut/shell/seed,1
Banboo,other,28
Garlic,other,24
Distiller's grains,other,20
Asphaltenes,other,12
Pristine,other,12
Tree species,other,10
medicinal herbs,other,6
avocado stones,other,4
potassium citrate,other,4
bananas,other,3
Deacetylation degree,other,1
Line,other,1
Spider silks,other,1
Phenolic resin,polymer/resin,15
PANI,polymer/resin,9
PAN powders,polymer/resin,6
Orange peel,sludge/biowaste,49
Tea twigs,sludge/biowaste,24
waste wood chips,sludge/biowaste,24
Defatted cotton waste,sludge/biowaste,18
sludge,sludge/biowaste,11
Coffee grounds,sludge/biowaste,6
olive pomace,sludge/biowaste,6
Spent coffee grounds,sludge/biowaste,5
domestic sludge,sludge/biowaste,4
sawmill wood waste,sludge/biowaste,3
waste eucalyptus powder,sludge/biowaste,3
Fish scales,sludge/biowaste,1
Porous straw,straw/husk/stalk/agro-residue,24
Rice husk,straw/husk/stalk/agro-residue,19
Corn straw,straw/husk/stalk/agro-residue,18
Feedstocks of corn stalk and soybean straw,straw/husk/stalk/agro-residue,15
Actived carbon fibers,straw/husk/stalk/agro-residue,14
"corn cob, sugarcane bagasse, wheat straw",straw/husk/stalk/agro-residue,12
"palm date seeds, guava seeds and winged beans",straw/husk/stalk/agro-residue,12
Cotton fibers,straw/husk/stalk/agro-residue,10
Corn straw and rice husks,straw/husk/stalk/agro-residue,8
Pear branches,straw/husk/stalk/agro-residue,7
Rape straw,straw/husk/stalk/agro-residue,7
Antibiotic mycorrhizal residues,straw/husk/stalk/agro-residue,6
Wheat straw,straw/husk/stalk/agro-residue,6
Corn stalk,straw/husk/stalk/agro-residue,5
Palm oil residues,straw/husk/stalk/agro-residue,5
Pea pods,straw/husk/stalk/agro-residue,5
corncobs,straw/husk/stalk/agro-residue,5
Castor stalk,straw/husk/stalk/agro-residue,2
wood powder,wood/sawdust/bamboo,16
Sawdust,wood/sawdust/bamboo,11
Bamboo,wood/sawdust/bamboo,10
Bamboo powder,wood/sawdust/bamboo,10
bamboo,wood/sawdust/bamboo,9
wood sawdust,wood/sawdust/bamboo,8
Pine sawdust,wood/sawdust/bamboo,7
Poplar wood chips,wood/sawdust/bamboo,7
Balsa wood,wood/sawdust/bamboo,5
Nature wood,wood/sawdust/bamboo,5
Pine wood,wood/sawdust/bamboo,5
sawdust,wood/sawdust/bamboo,4
wood chips,wood/sawdust/bamboo,2
wood pieces,wood/sawdust/bamboo,2
Cedar,wood/sawdust/bamboo,1
Pine,wood/sawdust/bamboo,1
Pine cone,wood/sawdust/bamboo,1
