Ref number,Carbon precursors,Sample name,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),C (%),O (%),N (%),Uptake (mmolg-1),DOI,Year,Title
1,PANI,PANI@PAM,2.92,0.03,0.0019,1.0,298.0,,,,0.01,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
1,PANI,PANI@PAM-650,1.88,0.02,0.001,1.0,298.0,,,,0.57,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
1,PANI,PANI@PAM-CA-1-650,1272.81,0.55,0.46,1.0,273.0,81.16,13.27,5.57,6.04,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
1,PANI,PANI@PAM-CA-1-650,1272.81,0.55,0.46,1.0,298.0,81.16,13.27,5.57,4.12,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
1,PANI,PANI@PAM-CB-2-550,59.42,0.07,0.02,1.0,273.0,78.13,14.61,7.27,6.02,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
1,PANI,PANI@PAM-CB-2-550,59.42,0.07,0.02,1.0,298.0,78.13,14.61,7.27,2.19,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
1,PANI,PANI@PAM-CB-2-650,1255.57,0.57,0.45,1.0,298.0,82.38,13.09,4.53,3.98,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
1,PANI,PANI@PAM-CB-2-750,1206.27,0.62,0.46,1.0,298.0,76.44,21.15,2.41,2.29,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
1,PANI,PANI@PAM-CB-2-850,271.65,0.29,0.11,1.0,298.0,62.97,36.42,0.61,0.89,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption
2,Poplar wood chips,KK-0-700,10.0,0.02,0.003,1.0,303.0,,,,1.86,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance
