Ref number,Carbon precursors,Sample name,DOI,Year,Title,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),Uptake (mmolg-1)
1,PANI,PANI@PAM,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,2.92,0.03,0.0019,1.0,298.0,0.01
1,PANI,PANI@PAM-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1.88,0.02,0.001,1.0,298.0,0.57
1,PANI,PANI@PAM-CA-1-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1272.81,0.55,0.46,1.0,273.0,6.04
1,PANI,PANI@PAM-CA-1-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1272.81,0.55,0.46,1.0,298.0,4.12
1,PANI,PANI@PAM-CB-2-550,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,59.42,0.07,0.02,1.0,273.0,6.02
1,PANI,PANI@PAM-CB-2-550,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,59.42,0.07,0.02,1.0,298.0,2.19
1,PANI,PANI@PAM-CB-2-650,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1255.57,0.57,0.45,1.0,298.0,3.98
1,PANI,PANI@PAM-CB-2-750,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,1206.27,0.62,0.46,1.0,298.0,2.29
1,PANI,PANI@PAM-CB-2-850,https://doi.org/10.1016/j.cej.2025.165389,2025,Self-assembled “3D-stereoscopic printing-like” PANI-based porous carbon aerogels for high-efficiency CO2 adsorption,271.65,0.29,0.11,1.0,298.0,0.89
2,Poplar wood chips,KK-0-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,10.0,0.02,0.003,1.0,303.0,1.86
2,Poplar wood chips,KK-1-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1116.0,0.73,0.356,1.0,303.0,3.49
2,Poplar wood chips,KK-2-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1434.0,0.9,0.456,1.0,303.0,3.76
2,Poplar wood chips,KK-3-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1499.0,0.94,0.49,1.0,303.0,4.03
2,Poplar wood chips,KK-3-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1499.0,0.94,0.49,1.0,298.0,4.38
2,Poplar wood chips,KK-3-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1499.0,0.94,0.49,1.0,273.0,6.26
2,Poplar wood chips,KK-4-700,https://doi.org/10.1016/j.biombioe.2026.109259Get rights and content,2026,One-step fabrication of porous carbon via molten salt-assisted pyrolysis and evaluation of its CO2 adsorption performance,1331.0,0.84,0.432,1.0,303.0,3.81
3,Phenolic resin,PC,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,486.2,0.27,0.21,1.0,273.0,3.56
3,Phenolic resin,PC-F0.5,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,539.4,0.76,0.18,1.0,273.0,3.43
3,Phenolic resin,PC-F0.5,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,539.4,0.76,0.18,1.0,298.0,2.48
3,Phenolic resin,PCF0.5-S0.5,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,523.6,0.31,0.16,1.0,273.0,3.17
3,Phenolic resin,PCF0.5-S0.75,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,583.7,0.32,0.19,1.0,273.0,3.59
3,Phenolic resin,PCF0.5-S1.25,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,674.9,0.47,0.21,1.0,273.0,3.43
3,Phenolic resin,PCF0.5-S1.75,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,641.6,0.47,0.19,1.0,273.0,3.99
3,Phenolic resin,PCF0.5-S1.75,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,641.6,0.47,0.19,1.0,298.0,3.11
3,Phenolic resin,PCF0.5-S2.5,https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,593.6,0.77,0.11,1.0,273.0,2.67
3,Phenolic resin,APC (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,947.9,0.37,0.31,1.0,273.0,4.16
3,Phenolic resin,APC (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,947.9,0.37,0.31,1.0,298.0,3.24
3,Phenolic resin,APC-F0.5 (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,522.4,0.29,0.24,1.0,273.0,4.13
3,Phenolic resin,APC-F0.5 (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,522.4,0.29,0.24,1.0,298.0,3.12
3,Phenolic resin,APCF0.5-S1.75 (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,983.9,0.66,0.4,1.0,273.0,4.93
3,Phenolic resin,APCF0.5-S1.75 (3 h),https://doi.org/10.1016/j.jes.2025.02.052Get rights and content,2026,Synthesis of a novel carbon microsphere with multi-cavity mesoporous structure for CO2 adsorption,983.9,0.66,0.4,1.0,298.0,3.29
4,Orange peel,AC-2-700,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study,374.0,0.162,0.127,1.0,298.0,1.72
4,Orange peel,PAC-2-5-700,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study,398.0,0.207,0.127,1.0,298.0,1.97
4,Orange peel,PAC-2-15-700,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study,487.0,0.215,0.16,1.0,298.0,2.49
